Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
LOVE IS WAR - ULTRA ROMANTIC- NEW COUNTDOWN VISUAL,1.0,0.0,,inf
LOVE LIVE NIJIGASAKI SEASON 2 * HEALER,1.0,0.0,,inf
LYN - OPEN YOUR HEART,1.0,0.0,,inf
MY NEW SCHOOL IS A CHILDHOOD FRIEND OF MINE WHO I THOUGHT WAS A BOY - VOLUME 1 COVER,1.0,0.0,,inf
MY RATING : 9/10*** CURRENTLY WATCHING **:** TWENTY - FIVE TWENTY - ONE,1.0,0.0,,inf
MY RATING : 9/10*** ROOKIE COPS,1.0,0.0,,inf
MYSTERIOUS GIRLFRIEND X - URABE,1.0,0.0,,inf
OKAY : - FULLMETAL ALCHEMIST : BROTHERHOOD,1.0,0.0,,inf
START - UP ; TWENTY - FIVE TWENTY - ONE,1.0,0.0,,inf
THAT 'S VAGABOND,1.0,0.0,,inf
THE LEGEND OF HEROES : TRAILS OF COLD STEEL - NORTHERN WAR NEW VISUAL,1.0,0.0,,inf
THE ONE WHO DID NOT SUBJUGATE THE DEMON KING - ONESHOT,1.0,0.0,,inf
THE PLAYFUL GUARDIANS - ONESHOT,1.0,0.0,,inf
THE WORLD 'S FINEST ASSASSIN GETS REINCARNATED IN ANOTHER WORLD AS AN ARISTOCRAT - I WAS KICKED OUT OF THE HERO'S PARTY BECAUSE I WAS N'T A TRUE COMPANION SO I DECIDED TO HAVE A SLOW LIFE,1.0,0.0,,inf
THE WORLD GOD ONLY KNOWS -,1.0,0.0,,inf
TOP 10 MOST ANTICIPATED ANIME - SPRING 2022,1.0,0.0,,inf
TWENTY - FIVE TWENTY - ONE ] ME FANGIRLING OVER OPPAS,1.0,0.0,,inf
VARIOUS ARTISTS - TWENTY - FIVE TWENTY - ONE FULL OST,1.0,0.0,,inf
VIVY - SING MY PLEASURE,1.0,0.0,,inf
WATATEN ! : AN ANGEL FLEW DOWN TO ME - PRECIOUS FRIENDS,1.0,0.0,,inf
WATATEN ! : AN ANGEL FLEW DOWN TO ME - PRECIOUS FRIENDS NEW VISUAL,1.0,0.0,,inf
